,tanb,Lambda2,Lambda4,uv_ef
0,0.9307139999999999,1.20689,0.170973,7376300.0
1,1.67495,0.440366,1.5974899999999999,63159.0
2,0.9683959999999999,1.83045,-0.933316,30365.0
3,7.80571,0.425886,1.6687299999999998,4866.5
4,19.7331,0.23715799999999998,0.455736,95731000.0
5,1.30762,1.93894,-0.130573,30365.0
6,2.05698,0.302066,0.675616,63159.0
7,1.88168,0.408069,1.1773799999999999,43793.0
8,2.1571,0.41580100000000003,1.29572,7018.6
9,12.3971,0.276331,1.32744,21054.0
10,1.45214,0.151239,0.188932,14599.0
11,14.1467,0.23546599999999998,1.63689,14599.0
12,1.41772,1.20498,0.304129,21054.0
13,6.848610000000001,0.102752,1.74895,2339.7
14,1.595,1.48821,1.11505,10122.0
15,0.678124,0.9930559999999999,0.614004,1124.9
16,7.876810000000001,0.270158,1.09969,63159.0
17,3.24783,0.8569760000000001,0.6473810000000001,5114500.0
18,1.1562,1.7138,0.6697420000000001,30365.0
19,0.724654,1.3126,0.272802,4866.5
20,5.68611,0.171997,-0.9871549999999999,91089.0
21,2.35542,0.714831,0.9336709999999999,5114500.0
22,0.54888,1.9788,0.623208,2339.7
23,1.7334,1.1135899999999999,-0.280565,30365.0
24,5.88106,0.373882,0.8615229999999999,3374.3
25,6.716889999999999,0.25603200000000004,1.84792,43793.0
26,0.810874,1.77045,-1.31321,21054.0
27,13.5418,0.260361,1.6418,4866.5
28,1.15975,0.686517,-1.3099299999999998,819690.0
29,3.38769,1.62944,-1.2344,21054.0
30,0.518656,1.98012,0.07999730000000001,1124.9
31,1.55115,0.8994219999999999,-0.8603290000000001,7376300.0
32,14.5479,0.244402,1.1986700000000001,10122.0
33,2.2105,0.617028,-0.330505,14599.0
34,1.73082,1.71117,0.443118,14599.0
35,18.2382,0.257984,-0.640351,568360.0
36,2.1615900000000003,0.408368,0.352383,819690.0
37,1.0522,1.51404,-0.7595649999999999,14599.0
38,1.21462,1.09276,0.42160699999999995,394080.0
39,2.12185,0.322745,-0.22537100000000002,30365.0
40,2.13075,0.22027399999999997,0.9048639999999999,21054.0
41,1.07526,0.547085,0.9838,30365.0
42,1.99727,0.582986,-0.179812,394080.0
43,1.8882599999999998,0.302962,-0.0172139,21054.0
44,3.81535,0.0111626,0.514827,4866.5
45,2.3113200000000003,0.280593,1.31651,7018.6
46,5.74044,0.372762,1.86415,4866.5
47,4.62978,0.198555,0.285186,14599.0
48,5.62211,0.172761,0.45009799999999994,189460.0
49,7.22063,0.25409899999999996,-0.46686700000000003,568360.0
50,0.793357,1.6419700000000002,1.1662700000000001,14599.0
51,1.86746,0.384238,1.56389,21054.0
52,1.1309799999999999,0.8337319999999999,1.3532600000000001,21054.0
53,1.13227,0.336147,0.278725,189460.0
54,2.49868,1.77528,-0.274391,14599.0
55,5.31966,0.241325,0.0860475,63159.0
56,0.841849,1.65647,0.630987,43793.0
57,1.46763,0.843916,-0.24339,2458900.0
58,1.09406,1.6117,0.91107,7018.6
59,1.13533,1.8121,0.6668729999999999,10122.0
60,0.540549,1.87588,1.22204,2339.7
61,5.77025,0.11174,1.59676,43793.0
62,4.20403,0.08216210000000002,0.993158,43793.0
63,1.61683,1.3464200000000002,-0.939841,189460.0
64,0.711249,1.51938,0.244213,21054.0
65,0.8119,1.39077,-0.334002,21054.0
66,0.999684,0.938089,0.21129499999999998,273250.0
67,4.41293,0.203663,1.0558,4866.5
68,3.11862,0.6145510000000001,0.895533,819690.0
69,1.73695,1.90273,0.564372,3374.3
70,13.9657,0.320818,0.160483,568360.0
71,0.757858,1.9114799999999998,1.12963,30365.0
72,3.1747099999999997,0.218811,0.32016700000000003,5114500.0
73,6.83487,0.371923,1.09909,21054.0
74,2.45823,0.224782,1.37012,131370.0
75,0.753798,1.6946700000000001,0.45577700000000004,10122.0
76,4.0704199999999995,0.334775,1.7877,10122.0
